,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,busselton,au,-33.65,115.33,76.37,74,0,21.61
2,torbay,ca,47.67,-52.73,44.6,93,90,23.04
4,lalibela,et,12.03,39.03,57.79,41,0,2.71
5,arraial do cabo,br,-22.97,-42.03,77.9,75,24,18.48
6,cidreira,br,-30.18,-50.21,57.2,93,0,2.59
7,caravelas,br,-17.71,-39.25,77.36,100,80,14.56
8,sibu,my,2.3,111.82,87.8,74,75,2.24
9,arauco,cl,-37.25,-73.32,51.8,87,0,11.41
10,lieksa,fi,63.32,30.02,31.51,88,88,7.07
11,kijang,id,0.9,104.63,80.74,100,88,11.1
13,fortuna,us,40.6,-124.16,50.0,93,90,9.17
14,ponta do sol,cv,17.2,-25.09,78.13,99,92,14.0
15,coihaique,cl,-45.58,-72.07,41.0,65,0,3.36
16,wanning,cn,18.8,110.4,75.02,100,92,18.25
18,kavaratti,in,10.57,72.64,84.61,99,32,13.78
19,ushuaia,ar,-54.8,-68.3,37.4,86,75,10.29
21,punta arenas,cl,-53.15,-70.92,42.8,70,75,12.75
22,vaini,to,-21.2,-175.2,80.6,65,20,9.17
23,necochea,ar,-38.55,-58.74,54.14,81,8,19.04
24,bambous virieux,mu,-20.34,57.76,80.6,65,75,11.41
25,gazanjyk,tm,39.24,55.52,33.26,97,24,3.49
26,new norfolk,au,-42.78,147.06,68.0,56,20,17.22
27,butaritari,ki,3.07,172.79,84.65,100,88,12.44
28,hilo,us,19.73,-155.09,69.8,88,90,6.93
29,cabo san lucas,mx,22.89,-109.91,68.0,77,5,9.08
30,albany,au,-35.02,117.89,76.96,71,32,12.44
31,drayton valley,ca,53.22,-114.99,21.74,97,76,3.27
32,bluff,nz,-46.6,168.33,59.0,96,0,9.19
33,cape town,za,-33.93,18.42,50.0,76,0,3.36
34,price,us,39.6,-110.81,37.4,51,1,6.93
35,kapaa,us,22.08,-159.32,75.2,88,75,21.92
37,narsaq,gl,60.92,-46.05,42.8,35,76,14.99
40,vardo,no,70.37,31.11,32.0,100,75,20.8
41,hobart,au,-42.88,147.33,68.0,56,20,17.22
42,patiya,bd,22.29,91.98,73.4,73,0,4.7
43,shestakovo,ru,56.49,103.96,-9.31,48,44,6.29
44,egvekinot,ru,66.32,-179.17,7.16,80,80,5.95
45,allanridge,za,-27.75,26.64,66.61,58,32,19.26
46,matara,lk,5.95,80.54,77.09,100,92,4.05
47,aktash,ru,50.3,87.73,7.7,54,0,2.48
49,iqaluit,ca,63.75,-68.51,19.4,79,75,3.36
50,chickasha,us,35.05,-97.94,53.6,57,1,6.93
51,port alfred,za,-33.59,26.89,60.53,100,92,4.16
52,rikitea,pf,-23.12,-134.97,77.27,97,76,15.46
53,barrow,us,71.29,-156.79,5.0,92,24,15.12
54,ilulissat,gl,69.22,-51.1,26.6,45,0,11.41
55,amarillo,us,35.22,-101.83,57.2,57,1,5.82
57,hami,cn,42.8,93.45,33.08,55,0,4.72
58,umm lajj,sa,25.02,37.27,68.63,100,0,7.07
61,kodiak,us,57.79,-152.41,33.8,100,90,4.7
62,kattivakkam,in,13.22,80.32,84.2,83,75,11.41
63,kupang,id,-10.17,123.58,78.8,94,75,9.17
65,san quintin,mx,30.48,-115.95,51.8,91,8,4.16
66,tyukhtet,ru,56.54,89.3,0.32,74,80,8.86
69,nobres,br,-14.72,-56.33,72.86,92,0,2.71
71,bethel,us,41.37,-73.41,39.2,64,1,5.82
72,hermosillo,mx,29.07,-110.97,75.2,33,5,2.37
